locale,language,direction,format,width,height,file,caption,landing_page
"zh-Hans","zh-CN","ltr","landscape","1200","630","zh-Hans/guitartool-chord-cards-zh-Hans-landscape-1200x630.png","GuitarTool 可以把当前吉他或尤克里里指法预览成卡片，保存到相册，或通过系统分享发送图片。接收者无需安装 App，图片也不会强制附带下载链接。","https://weizhichao1027-collab.github.io/guitartool-website/guides/share-chord-diagrams/"
"zh-Hans","zh-CN","ltr","feed","1080","1350","zh-Hans/guitartool-chord-cards-zh-Hans-feed-1080x1350.png","GuitarTool 可以把当前吉他或尤克里里指法预览成卡片，保存到相册，或通过系统分享发送图片。接收者无需安装 App，图片也不会强制附带下载链接。","https://weizhichao1027-collab.github.io/guitartool-website/guides/share-chord-diagrams/"
"zh-Hans","zh-CN","ltr","story","1080","1920","zh-Hans/guitartool-chord-cards-zh-Hans-story-1080x1920.png","GuitarTool 可以把当前吉他或尤克里里指法预览成卡片，保存到相册，或通过系统分享发送图片。接收者无需安装 App，图片也不会强制附带下载链接。","https://weizhichao1027-collab.github.io/guitartool-website/guides/share-chord-diagrams/"
"zh-Hans","zh-CN","ltr","thumbnail","1920","1080","zh-Hans/guitartool-chord-cards-zh-Hans-thumbnail-1920x1080.png","GuitarTool 可以把当前吉他或尤克里里指法预览成卡片，保存到相册，或通过系统分享发送图片。接收者无需安装 App，图片也不会强制附带下载链接。","https://weizhichao1027-collab.github.io/guitartool-website/guides/share-chord-diagrams/"
"en","en","ltr","landscape","1200","630","en/guitartool-chord-cards-en-landscape-1200x630.png","GuitarTool turns the current guitar or ukulele voicing into a clear card you can preview, save to Photos or share—without forcing an App Store link on the recipient.","https://weizhichao1027-collab.github.io/guitartool-website/en/guides/share-chord-diagrams/"
"en","en","ltr","feed","1080","1350","en/guitartool-chord-cards-en-feed-1080x1350.png","GuitarTool turns the current guitar or ukulele voicing into a clear card you can preview, save to Photos or share—without forcing an App Store link on the recipient.","https://weizhichao1027-collab.github.io/guitartool-website/en/guides/share-chord-diagrams/"
"en","en","ltr","story","1080","1920","en/guitartool-chord-cards-en-story-1080x1920.png","GuitarTool turns the current guitar or ukulele voicing into a clear card you can preview, save to Photos or share—without forcing an App Store link on the recipient.","https://weizhichao1027-collab.github.io/guitartool-website/en/guides/share-chord-diagrams/"
"en","en","ltr","thumbnail","1920","1080","en/guitartool-chord-cards-en-thumbnail-1920x1080.png","GuitarTool turns the current guitar or ukulele voicing into a clear card you can preview, save to Photos or share—without forcing an App Store link on the recipient.","https://weizhichao1027-collab.github.io/guitartool-website/en/guides/share-chord-diagrams/"
"zh-Hant","zh-TW","ltr","landscape","1200","630","zh-Hant/guitartool-chord-cards-zh-Hant-landscape-1200x630.png","GuitarTool 可把目前的吉他或烏克麗麗指法預覽成卡片，儲存到照片或分享圖片；接收者無需安裝 App。","https://weizhichao1027-collab.github.io/guitartool-website/zh-hant/"
"zh-Hant","zh-TW","ltr","feed","1080","1350","zh-Hant/guitartool-chord-cards-zh-Hant-feed-1080x1350.png","GuitarTool 可把目前的吉他或烏克麗麗指法預覽成卡片，儲存到照片或分享圖片；接收者無需安裝 App。","https://weizhichao1027-collab.github.io/guitartool-website/zh-hant/"
